Filename (GDrive),EN name,JP name,EN category,JP category,Keep (Green),Don't Keep (Red),Unsure (Yellow)
ff9 sneak 100.wav,,,,,,+,
From Discord/a_a_a_a_a_a_a_a__laugh.mp3,,,,,,+,
From Discord/a.mp3,,,,,,,
From Discord/AaaaahRabbitDeath.mp3,,,,,,+,
From Discord/aaaagh.mp3,Aaaagh,あ゙あ゙あ゙あ゙あ゙あ゙,Screams,悲鳴,+,,
From Discord/Abayo.mp3,Farewell,ｱﾊﾞﾖ,,,+,,
From Discord/ahhIwanttoeatmeat.mp3,,,,,,+,
From Discord/AlmondAlmond.mp3,,,,,,,
From Discord/AmeliaBoingBoing.mp3,,,,,,+,
From Discord/araara.mp3,Ara ara,あらあら～,,,+,,
From Discord/Arrrgggh_Shinda.mp3,,,,,,+,
From Discord/BaingBaing.mp3,Baing Baing,バーインバーイン,,,+,,
From Discord/Beautiful.mp3,Beautiful,ビューティフル,Watamenglish,わためングリッシュ,+,,
From Discord/BestGirlYAGOO.wav,,,,,,,
From Discord/BIG-NEWS.mp3,,,,,,+,
From Discord/BigFace.wav,,,,,,+,
From Discord/ChatWorriedAboutTheChair.mp3,,,,,,+,
From Discord/Check_it_out.wav,Check it out!,チェケラ！,Watamenglish,わためングリッシュ,+,,
From Discord/chu.wav,,,,,+,,w/o giggle pls
From Discord/ComeOn.mp3,,,,,,,
From Discord/ComeOnCalli.mp3,,,,,,+,
From Discord/Cut.wav,Cut,カット！,Watamenglish,わためンぐリッシュ,+,,
From Discord/cute_sound.wav,Yochi yochi,よちよち,Cute,かわいい,+,,
From Discord/Death_of_Crunchy_Sheep.mp3,,,,,,+,
From Discord/DemonLordWatame.mp3,,,,,,+,
From Discord/Dongadondondon.mp3,Dodongadondondon!,どどんがどんどんどん！,,,,,+
From Discord/DontAbandonMe.mp3,Don't abandon me...！,捨てないでおねがい！,Sad,悲しい,+,,
From Discord/Ed_Sheepran_-_Galway_Goat.wav,,,,,,+,
From Discord/every_day_is_wororg_day.wav,,,,,,,+
From Discord/everyonewakeup.wav,,,,,+,,Cut is early
From Discord/Fuumi-mama_saiko.mp3,,,,,,+,
From Discord/g_g_e_z.mp3,GG EZ(ed),ジージー　イーゼッド,Watamenglish,わためンぐリッシュ,+,,
From Discord/GaHaHa.mp3,GaHaHa！,ガハハハッ,,,+,,
From Discord/gesundheit.mp3,Gesundheit,（？）,,,+,,
From Discord/gg_ez.mp3,GGEZ,グッドゲーム　イージー,Watamenglish,わためンぐリッシュ,+,,
From Discord/Goddamn.mp3,,,,,,+,
From Discord/GoodBoy.mp3,,,,,,+,
From Discord/happy_birthday_wororg.wav,,,,,,+,
From Discord/HappyBirthday.wav,,,,,,,
From Discord/HappyDay.wav,,,,,,,
From Discord/headpat.mp3,Headpaaat,ヘッドパーット,Watamenglish,わためンぐリッシュ,+,+,
From Discord/HelloEveryone.wav,,,,,,,
From Discord/HelpmeHelpme.mp3,Help meee,ヘルプミー,Watamenglish,わためンぐリッシュ,+,,
From Discord/Hey_guys.wav,Hey guys,ヘイガーイズ,Watamenglish,わためンぐリッシュ,+,,
From Discord/HeyWatamateSiri.mp3,,,,,,+,
From Discord/hi_honey.wav,Hi honey,ハイハニー～,Watamenglish,わためンぐリッシュ,+,,
From Discord/I_like_sand.mp3,I like sand,砂が好き（英語）,Memes,ミーム,+,+,
From Discord/I_love_you_daddy.mp3,,,,,,+,
From Discord/IAlsoWantToMeetOverSheep.mp3,,,,,,,
From Discord/iamsheep.mp3,I am sheep!,アイアムシープ！,Watamenglish,わためンぐリッシュ,+,,
From Discord/IDontWannaBeJingiskanAnymore.mp3,Don't want to be jingisukan,ジンギスカンになりたくない,Sad,悲しい,+,,
From Discord/Imhungry.mp3,I'm hungry,アイムハングリー,Watamenglish,わためンぐリッシュ,+,,
From Discord/IofiPantat.mp3,,,,,,+,
From Discord/itaitaitaitaitaitaitai.mp3,,,,,,,
From Discord/kachi.wav,kachi,ｶﾁｯ,,,+,,
From Discord/kamsahamnida_arigatou.mp3,,,,,,,
From Discord/kao.wav,Angry about big face jokes,顔デカくねって（激おこ）,Memes,ミーム,+,,+
From Discord/LastSandBlock.mp3,,,,,,+,
From Discord/lets_go.wav,Let's goo,レッツゴー,Watamenglish,わためンぐリッシュ,+,,
From Discord/LionKing.mp3,,,,,,,
From Discord/longtone.mp3,eeeee??? (long),ええええ？？（長い）,Cute,かわいい,+,+,
From Discord/Mario.wav,Mario,マリオ,,,+,,
From Discord/matamaketanye.wav,,,,,,,
From Discord/meeeeh.wav,Meeeehhhh,メﾞｴﾞｴﾞｴﾞｴﾞ,Cute,かわいい,+,,
From Discord/meshiequalfood.mp3,Meshi = Food,飯＝フード,Watamenglish,わためンぐリッシュ,+,+,
From Discord/milk_for_you_bebi.wav,Milk for you baby,ミルクフォーユーベビー,Watamenglish,わためンぐリッシュ,+,,
From Discord/mini_argh.mp3,,,,,+,,
From Discord/MyNameIsWatameTsunomaki.mp3,My name is Watame Tsunomaki,マイネームイズわため角巻,Watamenglish,わためンぐリッシュ,+,,
From Discord/nadenade.mp3,nade nade,なでなで,Cute,かわいい,+,,
From Discord/nadenadeevrythingsgoingtobeokay.mp3,,,,,,+,
From Discord/NoelWatame_Otototototo.mp3,,,,,,+,
From Discord/Ohmygosh.mp3,Oh my gosh!,オーマイガッシュ！,Watamenglish,わためンぐリッシュ,+,,
From Discord/oiiii.mp3,Oii!,おおぃ！,,,+,,
From Discord/OkayUnderstand.mp3,,,,,+,Messy audio,
From Discord/omaewa.wav,You are already dead,お前はもう死んでいる,Memes,ミーム,+,,
From Discord/oversheep.mp3,,,,,,,
From Discord/PekoLaugh.mp3,Peko laugh,ぺこ笑い,Cute,かわいい,+,,
From Discord/Pikachu.mp3,Pikachu impression,ピカチュウ真似,Cute,かわいい,+,,
From Discord/PrettyKetsu.mp3,WOW Pretty Butt,わお！プリティーケツ,,,+,+,
From Discord/RagnarokLevelUp.wav,,,,,,,
From Discord/RepeatAfterMeTasukete.mp3,Repeat after me: Help me,リピートアフターミー「助けて」,,,+,,
From Discord/ShigureUii.mp3,I'm Shigure Ui,しぐれういでーす,,,+,,
From Discord/Suichanwakyoumokawaii.mp3,,,,,,+,
From Discord/Taylor_Sheep_-_Look_What_Ewe_Made_Me_Do.wav,,,,,,+,
From Discord/TowasamaIsDevil.mp3,”Towasama is devil”,トワ様イズデヴィル,,,+,+,
From Discord/Tsundere_Watame_Calls_You_Baka.mp3,Tsundere(?) Watame insults you,ツンデレ(？)わための罵倒,Cute,かわいい,+,,
From Discord/Uuuuuoowaaaaagghhh_Gyaaaah__Noel_Laugh.mp3,,,,,,+,
From Discord/uwaaaaaa.mp3,Uwaaaaaa,うわああぁ,Screams,悲鳴,+,,
From Discord/VictoryFanfare.mp3,,,,,,+,
From Discord/wao.mp3,Wao,わお。,,,+,,
From Discord/WATA.mp3,,,,,+,,BGM?
From Discord/WataBeam.mp3,Wata Beam,わたビーム,Cute,かわいい,+,,
From Discord/watagasm.wav,,,,,,,
From Discord/watame_ahaan_ahoon.wav,,,,,,+,
From Discord/watame_all_is_well.mp3,,,,,,+,
From Discord/watame_ame_boing_boing_pantsu.mp3,,,,,,+,
From Discord/watame_angry_guage_is_filling_up.wav,,,,,,+,
From Discord/watame_answers_question_about_her_bankai.wav,,,,,,+,
From Discord/watame_armpits__buubs.mp3,,,,,,+,
From Discord/watame_assures_that_she_is_safe_for_children_to_watch.wav,Watame is safe for children,子供が見ても大丈夫です,,,+,,
From Discord/watame_barely_survived_watame.wav,,,,,+,Messy audio,
From Discord/watame_boob_cup_alphabet.wav,,,,,,+,
From Discord/watame_brainwash.mp3,Watame Brainwashing,わため洗脳,,,+,,
From Discord/watame_burning_burning_burning.wav,,,,,,+,
From Discord/watame_charged_watabeam.wav,,,,,,+,
From Discord/watame_chu_kachi.wav,Thank you kiss,感謝のチュ,Cute,かわいい,+,,
From Discord/watame_creeper_uwaaa.mp3,,,,,,,
From Discord/watame_doing_seiso_voice_after_new_viewer_says_her_voice_is_cute.wav,,,,,,+,
From Discord/watame_eating_chat_for_trying_to_end_off_with_otsunomaki_early.wav,,,,,,+,
From Discord/watame_favourite_word.mp3,Watame's Favorite Word,わためぇの好きな言葉,Watamenglish,わためンぐリッシュ,+,,
From Discord/watame_freedom.wav,,,,,,+,
From Discord/watame_frustration_noise.wav,,,,,,+,
From Discord/watame_funeral_music.wav,,,,,,+,
From Discord/Watame_gobrrrrrrrrrrrrrr.wav,,,,,+,,
From Discord/watame_good_night_good_boy_bye_v2.wav,Good night good boy,グナイ～グッボイ～,Watamenglish,わためンぐリッシュ,+,,
From Discord/watame_gya.wav,,,,,,+,
From Discord/watame_happy_sheep_v2.wav,Happy sheep,ハッピーシープ,Watamenglish,わためンぐリッシュ,+,,
From Discord/watame_have_a_break.wav,,,,,,+,
From Discord/watame_i_got_it_with_a_sudden_goddamn.wav,,,,,,+,
From Discord/watame_i_like_wakipai.mp3,,,,,,+,
From Discord/watame_i_love_you_unko.wav,,,,,,+,
From Discord/watame_ikebo_attempt.wav,,,,,,+,
From Discord/watame_im_back.wav,I'm back,ただいまー,,,+,,
From Discord/watame_is_very_very_sleepy_2.wav,,,,,,+,
From Discord/watame_jp_and_oversheep_support_has_become_her_strength.wav,,,,,,+,
From Discord/watame_kachi_goodnight_rythmic.wav,,,,,,+,
From Discord/watame_ki_noise.wav,,,,,,+,
From Discord/watame_kick.wav,Watame kick!,わためキーック,Watamenglish,わためンぐリッシュ,+,,
From Discord/watame_koko_is_doko.wav,Where's this? Koko is doko?,ここイズどこ？,Cute,かわいい,+,,
From Discord/watame_kora.wav,Kora!,コラ！コラ！,Cute,かわいい,+,,
From Discord/watame_lava_scream.mp3,Shriek (Lava),悲鳴（マグマ）,Screams,悲鳴,+,,
From Discord/watame_lets_go_restroom.wav,,,,,,+,
From Discord/watame_lion_king_reference_to_simba_remembering_who_he_is.wav,,,,,,+,
From Discord/watame_lost_watame_psa.wav,,,,,,+,
From Discord/Watame_love_you_all_kachi.wav,Love you all! Mwa!,愛してんでぇ！んま！,Cute,かわいい,+,,
From Discord/watame_mental_physical_vital_oriental.wav,"Mental, Physical, Vital, Oriental",メンタル、フィジカル、バイタル、オリエンタル,,,+,,
From Discord/watame_mt_fuji_boom_ver_2.wav,,,,,,,
From Discord/watame_nande.wav,"Ahhh, why!?",あああ、なんで！？,Screams,悲鳴,+,,
From Discord/watame_nice_unko.wav,,,,,,+,
From Discord/watame_nice.wav,,,,,,+,
From Discord/watame_no_baka_vers2.wav,,,,,,+,
From Discord/watame_noises.wav,,,,,+,,
From Discord/watame_nom_2.mp3,mogu mogu,モグモグ,Cute,かわいい,+,,
From Discord/watame_nom.mp3,,,,,,+,
From Discord/watame_oneesan_voice_as_prompted_by_scer.wav,,,,,,+,
From Discord/watame_oniichan_is_watames_but_the_bell_pepper_is_yours.wav,,,,,,+,
From Discord/watame_original_song_and_cover_song_everyday_check_it_out.wav,,,,,,+,
From Discord/watame_oyasumiiiiiiiiii.wav,,,,,,+,
From Discord/watame_panicking.wav,,,,,,+,
From Discord/watame_panting_into_kiii.wav,,,,,,+,
From Discord/watame_phasmo_death_1.mp3,,,,,,+,
From Discord/watame_phasmo_scream.mp3,,,,,,+,
From Discord/watame_pin_pon_pan_pon.wav,,,,,,+,
From Discord/watame_poi_then_gets_hit.wav,,,,,,+,
From Discord/watame_porno_festival.wav,,,,,+,,
From Discord/watame_potato_chip_zenloss.wav,,,,,+,,
From Discord/watame_puking_noises.mp3,,,,,+,+,
From Discord/watame_ragequit.wav,,,,,,+,
From Discord/watame_raging_at_getting_hit_on_no_dmg_run.wav,,,,,,+,
From Discord/watame_reaction_to_nice_to_eat_you.wav,,,,,,+,
From Discord/watame_reallly_did_it.wav,,,,,,+,
From Discord/watame_says_give_me_your_life_ver_2.wav,,,,,,+,
From Discord/watame_says_you_are_also_hers.wav,,,,,+,,just the last bit would be good
From Discord/watame_screams_from_failure.wav,"Aaaagggh, kuso!",あああああ、クソー！,Scream,悲鳴,+,,
From Discord/watame_suddenly_sings_kimi_janakya_dame_mitai.wav,,,,,,+,
From Discord/watame_teaches_wakipai.mp3,,,,,+,,just the last bit would be good
From Discord/watame_tells_d3_to_please_step_on_and_strike_her.wav,,,,,,+,
From Discord/Watame_thank_you_everyone_for_always_making_me_smile.wav,,,,,,+,
From Discord/watame_the_announcement_of_an_announcement.mp3,,,,,,+,
From Discord/watame_the_bell_pepper_is_yours.wav,,,,,,+,
From Discord/watame_thinks_she_did_it_but_then_realizes.wav,I did it! ...no I didn't,やったー！...やってない,Cute,かわいい,+,,
From Discord/watame_trying_to_left_but_oof.wav,,,,,+,+not interesting without video,
From Discord/watame_very_very_hungry.wav,Very very hungry,ベリーベリーハングリー,Cute,かわいい,+,,
From Discord/watame_voice_1_tsunodrill.wav,,,,,+,,This should probably be 3 separate files
From Discord/watame_voice_1_warukunai.wav,Watame did nothing wrong,わためは悪くないよねぇ？,Cute,かわいい,+,,
From Discord/watame_vs_chunk_loading.mp3,,,,,,+,
From Discord/watame_watamate_3_daily_meals.wav,,,,,,,
From Discord/watame_watamate_is_dinner.wav,,,,,,,
From Discord/watame_what_is_nani.wav,,,,,,,
From Discord/watame_who_are_dare.wav,,,,,,,
From Discord/watame_wow.wav,Wow,わーお,Cute,かわいい,+,,
From Discord/watame_ya_ya_ya_ya.wav,,,,,,+,
From Discord/watame_yada_yada.wav,,,,,,+,
From Discord/watame_yawn.wav,,,,,,+,
From Discord/watame_yomawari_scream_1.mp3,,,,,+,,I feel like there are too many screams with yomawari sound effects in them already
From Discord/watame_yomawari_scream_2.mp3,,,,,,,
From Discord/watame_you_wanna_fight_with_surprise_chu.wav,,,,,,,
From Discord/WatameFailure.wav,Failure teaches success.,失敗は成功のもと（英語）,Watamenglish,わためンぐリッシュ,+,+,
From Discord/WatameGhast.mp3,,,,,,,
From Discord/Watamegobrrrrrrrrrrrrrr.mp3,,,,,+,,
From Discord/WatameGoingToBrazil.mp3,,,,,,+,
From Discord/WatameIsyourHeadAlright.mp3,,,,,,+,
From Discord/WatameNumber1.mp3,Watame No.1,わためNo.1,Cute,かわいい,+,,
From Discord/WatameSaikouPuPuPu.mp3,,,,,,+,
From Discord/WatameYawn.mp3,,,,,,+,
From Discord/Wataroth.wav,,,,,+,,messy audio
From Discord/WhatAmITalkingAbout.mp3,,,,,+,,"sounds weird, old mic?"
From Discord/WhosAGoat.mp3,Who's a goat!?,誰がヤギや,,,+,,
From Discord/WhosAnOjisan.mp3,,,,,,,
From Discord/WhosAnOjisan.wav,Who's an ojisan!?,クソー！誰がおじさんやー,,,+,,
From Discord/whydeskslam.mp3,,,,,,+,
From Discord/whydoihavetoslamthedeskdeskslamdrifttheme.mp3,,,,,,+,
From Discord/wororg_is_used_as_a_joke_a_lot.wav,,,,,,,
From Discord/Wow.mp3,,,,,+,duplicate,
From Discord/WTM_everyone_is_my_important_family_kachi.wav,Everyone is my important family,皆が私の大切な家族だ（英語）,Watamenglish,わためンぐリッシュ,+,,
From Discord/Yatta.wav,,,,,,+,
From Discord/YouDidNotSeeAnything.mp3,"Everyone, you saw nothing",皆、何も見てない,Cute,かわいい,+,,
From Discord/youwanttsunodrill.mp3,,,,,+,There are loads of way better quality versions of this line,
Goat noises.wav,,,,,,,
God damn.wav,God damn!,ガッデム！,,,,,+
Happy birthday (Bell).wav,,,,,,,
Happy birthday (Desk).wav,,,,,,,
Happy day (Bell).wav,,,,,,,
Happy day (Desk).wav,,,,,,,
Hola Watamigo.wav,"¡Hola, Watamigo!",オラ！わたミーゴ！,,,+,,
It_s me Watame.wav,"It's me, Watame (Mario style)",イツミー、わーため（マリオ風）,Cute,かわいい,+,,
JP Sound clips/8 seconds to respawn.wav,,,,,,+,
JP Sound clips/Daijoubu dayo.wav,daijoubu dayo,大丈夫だよ！,,,+,,
JP Sound clips/Itterasshai.wav,itterasshai,いってらっしゃ～い,,,+,,
JP Sound clips/Proofing required/Budokan.wav,"""Let's go to Budokan!""",「武道館行こうぜ！」それが、わための夢かな,,,,+,
JP Sound clips/Proofing required/What did you eat today.wav,,,,,+,I don't think this is worth including,
JP Sound clips/Tsunomaki Janken Start.wav,"Tsunomaki Janken, Start!",つのまきじゃんけん、スタート！,,,+,,
Race car noises.wav,,,,,,+,
Sheep noises.wav,Baa Baa,ばああ　ばああ,Cute,かわいい,+,,
suprise creeper(Warning LOUD).mp3,,,,,+,,
Thigh drum.wav,Thigh drum,もも太鼓,,,+,,
Tsunomaki Janken Jingle.wav,,,,,,,
Warukunai.wav,"Watame, did nothing wrong, riiight?",わため、悪くないよねぇ～？,Cute,かわいい,+,,
Watabeam.wav,Watabeeeam,わたビーーーム,,,+,,
Watalaser.wav,Watalaser,わたレーザー,,,+,,
Watame Factory (Acapella).wav,Watame Factory (Acapella),わため工場（アカペラ）,,,+,,
Watame is family.wav,,,,,,,
Watame laugh.wav,Laugh 1,笑い声 1,,,+ ,,